BandIndex,HighestPeak1,HighestPeak2,HighestPeak3,HighestPeak4,HighestPeak5,HighestPeak6,HighestPeak7,HighestPeak8,HighestPeak9,HighestPeak10,HighestPeak11,HighestPeak12,HighestPeak13,HighestPeak14,HighestPeak15,HighestPeak16,HighestPeak17,HighestPeak18,HighestPeak19,HighestPeak20,HighestSingleChange21,HighestSingleChange22,HighestSingleChange23,HighestSingleChange24,HighestSingleChange25,HighestSingleChange26,HighestSingleChange27,HighestSingleChange28,HighestSingleChange29,HighestSingleChange30,HighestSingleChange31,HighestSingleChange32,HighestSingleChange33,HighestSingleChange34,HighestSingleChange35,HighestSingleChange36,HighestSingleChange37,HighestSingleChange38,HighestSingleChange39,HighestSingleChange40,HighestTotalChange41,HighestTotalChange42,HighestTotalChange43,HighestTotalChange44,HighestTotalChange45,HighestTotalChange46,HighestTotalChange47,HighestTotalChange48,HighestTotalChange49,HighestTotalChange50,HighestTotalChange51,HighestTotalChange52,HighestTotalChange53,HighestTotalChange54,HighestTotalChange55,HighestTotalChange56,HighestTotalChange57,HighestTotalChange58,HighestTotalChange59,HighestTotalChange60,HighestDynamicRange61,HighestDynamicRange62,HighestDynamicRange63,HighestDynamicRange64,HighestDynamicRange65,HighestDynamicRange66,HighestDynamicRange67,HighestDynamicRange68,HighestDynamicRange69,HighestDynamicRange70,HighestDynamicRange71,HighestDynamicRange72,HighestDynamicRange73,HighestDynamicRange74,HighestDynamicRange75,HighestDynamicRange76,HighestDynamicRange77,HighestDynamicRange78,HighestDynamicRange79,HighestDynamicRange80,BestPeakToAverage81,BestPeakToAverage82,BestPeakToAverage83,BestPeakToAverage84,BestPeakToAverage85,BestPeakToAverage86,BestPeakToAverage87,BestPeakToAverage88,BestPeakToAverage89,BestPeakToAverage90,BestPeakToAverage91,BestPeakToAverage92,BestPeakToAverage93,BestPeakToAverage94,BestPeakToAverage95,BestPeakToAverage96,BestPeakToAverage97,BestPeakToAverage98,BestPeakToAverage99,BestPeakToAverage100
4,0.171347688,0.171414542,0.190901554,0.272911675,1,0.887432654,0.312081986,0.291727441,0.24331931,0.221622807,0.165068308,0.186923816,0.260497137,0.261291133,0.328190719,0.236835195,0.104578641,0.09117156,0.088017338,0.123407405,0.24842886,0.211866369,0.195445143,0.297208301,0.959503739,1,0.394363771,0.297649536,0.297879373,0.243834936,0.207933681,0.217432487,0.285321488,0.310533022,0.314036454,0.215728329,0.143050421,0.109386639,0.106713714,0.172830943,0.216932063,0.209562697,0.22728951,0.331295794,1,0.847414012,0.392601375,0.25349485,0.211322006,0.188082115,0.187498765,0.171720311,0.242970281,0.242859302,0.284441798,0.187016989,0.102596514,0.092738533,0.080437068,0.098752395,0.1714561,0.168761103,0.189044777,0.271219786,1,0.887950915,0.311180089,0.291270184,0.242730763,0.221249646,0.163785006,0.184668612,0.259541681,0.259658177,0.325506715,0.235738265,0.102172402,0.087727049,0.084224195,0.121856773,0.788393007,0.710897124,0.638783743,0.521039819,0.597504776,0.522614155,0.596163445,0.793337809,0.855799094,0.88466335,0.803336397,0.997889047,0.965155816,0.790554022,0.777618943,1,0.747597424,0.825485515,0.75632885,0.816066178
5,0.130288505,0.162096963,0.208865289,0.931429077,0.843311336,1,0.75067881,0.485045209,0.426284385,0.311280597,0.47732819,0.662716107,0.57914304,0.439973723,0.300698521,0.283124229,0.244527078,0.205708385,0.143635099,0.205971537,0.156989646,0.157481033,0.196112021,0.783519887,0.931151374,1,0.73914878,0.602798145,0.456063021,0.370751974,0.325473056,0.45741314,0.488129362,0.449894111,0.338334373,0.265636693,0.225241322,0.243358743,0.184793266,0.178982546,0.170943077,0.178480774,0.224667646,0.50859334,0.88507007,1,0.623056437,0.383370087,0.336674504,0.287918656,0.320475727,0.388453844,0.505625111,0.36406764,0.311184091,0.25122546,0.257569928,0.161909276,0.152394816,0.196406886,0.131599628,0.160460995,0.208620762,0.929019077,0.747024783,1,0.754506182,0.48486284,0.426487925,0.311735866,0.477970523,0.658429909,0.578556072,0.428050647,0.29648259,0.280524828,0.245638824,0.206245522,0.139435857,0.201275614,0.49957417,0.481645094,0.477351276,1,0.254847523,0.553600092,0.647170113,0.649430203,0.686056714,0.571282003,0.737695146,0.800559952,0.439991933,0.51778051,0.538779973,0.666143565,0.443686455,0.6494192,0.426627249,0.493956554
4,0.142568709,0.147902853,0.184687411,0.375746328,0.96109728,1,0.559427933,0.600088024,0.620400741,0.738415003,0.429607224,0.272146223,0.237361134,0.206168847,0.225180563,0.18751976,0.190661263,0.289303043,0.136787681,0.121482176,0.188848136,0.168752102,0.168248754,0.396533753,1,0.80857099,0.587425215,0.519997057,0.464681745,0.552593793,0.389097316,0.30316502,0.26386226,0.206600852,0.230239327,0.185197564,0.235740562,0.219920745,0.161739387,0.136390771,0.253425018,0.246880334,0.234243167,0.401187875,1,0.977368811,0.589420623,0.36279116,0.543416552,0.638285099,0.419504204,0.292988118,0.212771332,0.186652798,0.221059958,0.21283445,0.172890074,0.192108124,0.168048671,0.133485485,0.146840589,0.148562763,0.185194938,0.380800322,0.974252935,1,0.551637867,0.600008508,0.629690644,0.741163819,0.437561996,0.273381307,0.239347917,0.208840105,0.227553823,0.19046248,0.192502843,0.291890083,0.132909105,0.118701781,0.569172809,0.53746869,0.511122759,0.578632717,0.548454501,0.47892302,0.622763738,0.917027318,0.686671716,0.576789886,0.718461015,0.612141744,0.747643811,0.679406868,0.591609216,0.605854895,0.773388731,1,0.491071919,0.607517593
4,0.202894892,0.191609555,0.272314532,0.747360735,1,0.651951973,0.426385197,0.528409509,0.554451389,0.31347432,0.279009449,0.324157055,0.32403533,0.219890708,0.258390591,0.346517236,0.263713085,0.126550687,0.106887773,0.097045668,0.210715978,0.22144471,0.202401883,0.604152735,1,0.583619641,0.461686069,0.606511973,0.454653745,0.363098197,0.324271407,0.398087484,0.202340246,0.207640915,0.281417053,0.29622847,0.230845047,0.192430393,0.137804954,0.125744625,0.261431739,0.232769558,0.276136679,0.675674293,1,0.73373431,0.539884144,0.622908825,0.501593477,0.354844824,0.311982946,0.345772318,0.25621287,0.25062528,0.287246762,0.321293135,0.27333927,0.185544101,0.161675397,0.133076312,0.203052438,0.1910033,0.272109248,0.745656555,1,0.651625875,0.425875729,0.528544656,0.554848616,0.313996631,0.27774915,0.324319157,0.322383848,0.219281827,0.258419652,0.347180808,0.264058293,0.126438107,0.106418637,0.096941938,1,0.795700682,0.555956166,0.852190766,0.790160953,0.712432857,0.720397013,0.770096439,0.659116687,0.755044796,0.711427836,0.93542771,0.759143817,0.729885334,0.994480301,0.945149397,0.92454856,0.686787813,0.684894515,0.762382415
5,0.099945552,0.120456495,0.139321777,0.258695833,0.542176559,0.974077602,1,0.671408249,0.943661094,0.443697674,0.258243136,0.27403213,0.393445712,0.379719559,0.297544797,0.194945547,0.188387418,0.260724192,0.177398055,0.120570972,0.129160483,0.103504182,0.17555228,0.224774513,0.482544832,0.982232261,1,0.792505736,0.659537428,0.610302742,0.366506983,0.352867638,0.552014033,0.523542155,0.408982906,0.234329515,0.24958006,0.288851065,0.248940574,0.17700555,0.253405701,0.227827575,0.253468692,0.331128851,0.522107685,1,0.834229648,0.545500263,0.508892869,0.422281509,0.315268253,0.355569323,0.403542571,0.435029819,0.347010215,0.303915293,0.265851642,0.241962527,0.248964626,0.195307551,0.100893426,0.116826566,0.137235553,0.254833568,0.535180609,0.964999122,1,0.664998159,0.935011626,0.440441287,0.260665862,0.271792276,0.391774024,0.383489061,0.300276486,0.194956711,0.188463053,0.263321887,0.1772078,0.11877449,0.471431712,0.521066685,0.50771064,0.678627544,0.727318814,0.7047245,0.52576266,0.549498353,0.543113216,0.648301383,0.560533653,0.720328546,0.997546849,1,0.959057885,0.554062627,0.66597551,0.73249793,0.726968133,0.638925222
5,0.264142308,0.262859935,0.559042798,0.483400215,0.878844167,1,0.851347694,0.677952337,0.492767959,0.431837338,0.637287656,0.438390434,0.342918825,0.285774374,0.244984075,0.199598066,0.25157493,0.223681861,0.436499459,0.203556955,0.172935392,0.233288129,0.335993516,0.55054502,0.629033889,1,0.773512953,0.741586918,0.409346241,0.488319091,0.56473895,0.37546145,0.355269337,0.28487146,0.223480057,0.15066824,0.221772385,0.18719195,0.289803169,0.195460518,0.242138098,0.277325892,0.428397028,0.528645749,0.954366019,1,0.78583359,0.666685132,0.450832868,0.445727253,0.629354874,0.456888336,0.426023315,0.277522272,0.236181528,0.243881398,0.298427718,0.320446944,0.410395187,0.353593707,0.264038561,0.261242905,0.559400876,0.483201251,0.878589277,1,0.850596918,0.67822303,0.491179643,0.430107568,0.636530675,0.437900003,0.339156238,0.280669357,0.243303318,0.194697371,0.250615196,0.218965413,0.434754343,0.203489495,1,0.689959756,0.83775905,0.645577416,0.554774737,0.618982897,0.754451975,0.791174892,0.72263322,0.6699493,0.575134528,0.663604101,0.443051692,0.618290533,0.685820724,0.456046818,0.523258761,0.475270421,0.572029665,0.358555156
8,0.064974636,0.073319198,0.081914283,0.092807436,0.117216595,0.234120041,0.35870653,1,0.733719794,0.471932341,0.425724347,0.42099096,0.418011468,0.350439376,0.320967884,0.224676042,0.20451202,0.165928709,0.119455087,0.119955276,0.080863621,0.110304776,0.125821872,0.133868908,0.127017992,0.226754135,0.489143997,1,0.966204965,0.593023857,0.499123435,0.515523458,0.6192886,0.551058045,0.313683963,0.289212703,0.210273266,0.188940263,0.171292518,0.150662388,0.124726619,0.13214479,0.126984923,0.13892026,0.185588307,0.280280031,0.569205341,1,0.95696344,0.799537074,0.766437872,0.674092443,0.574176058,0.464485359,0.372231563,0.368688379,0.241347997,0.248963276,0.19997591,0.185391655,0.064522619,0.072517403,0.08093974,0.09214975,0.114963761,0.229699215,0.355977435,1,0.72939773,0.465409824,0.418519095,0.411225891,0.41376491,0.34794711,0.30833632,0.219213879,0.203546483,0.163789423,0.115252634,0.118769824,0.763283425,0.759430643,0.741823877,0.738200794,0.6515978,0.685866147,0.708524783,1,0.916977992,0.6888548,0.54671409,0.539325492,0.824238846,0.978851114,0.745800107,0.646969051,0.943616138,0.700476752,0.669556969,0.704926352
8,0.079380201,0.076794845,0.094261177,0.092467331,0.222801665,0.576672956,0.784231105,1,0.596336975,0.547264257,0.570962056,0.365668627,0.552029303,0.500061408,0.353568134,0.232561983,0.199199588,0.260190078,0.309672508,0.550317069,0.128164131,0.112601452,0.139063521,0.115996133,0.264400481,0.723387449,0.883002737,0.864742543,1,0.932425714,0.695894963,0.576842038,0.683560382,0.856688045,0.371086264,0.385943548,0.278599077,0.370042215,0.461861061,0.876470104,0.130137473,0.115514085,0.123627125,0.154169524,0.261831041,0.673633273,0.847909269,1,0.678126671,0.547057163,0.565206057,0.474283481,0.504283137,0.483518977,0.397242192,0.297942995,0.328663059,0.412396407,0.376748193,0.509664417,0.079497625,0.076560501,0.0939445,0.091277435,0.221678433,0.577494472,0.784749574,1,0.596590342,0.547615696,0.570772762,0.365206748,0.552424569,0.49856269,0.351153832,0.231466564,0.198707041,0.258787712,0.308731416,0.549808729,0.586008661,0.538656617,0.560421139,0.414567109,0.643817451,0.724860104,0.812339532,0.804142926,0.756882331,0.975286511,0.744942763,0.62555626,1,0.929424273,0.487204503,0.585572812,0.498163296,0.577492582,0.6634186,0.961193423
6,0.074151385,0.09650458,0.10574563,0.195748311,0.207663664,0.412465641,0.702679916,1,0.428846878,0.555816819,0.360001068,0.263676599,0.373432647,0.497203226,0.586060788,0.392709032,0.430342528,0.46757385,0.305232868,0.468038512,0.115845923,0.170874092,0.149150157,0.175278983,0.235118443,0.53702164,1,0.915845564,0.68561963,0.73905091,0.404674377,0.421486901,0.535603997,0.726849742,0.684715721,0.699739567,0.459823172,0.605701704,0.410667949,0.436663904,0.275502809,0.256077972,0.24655313,0.282468868,0.359812347,0.475460961,0.719493621,1,0.619109262,0.634614653,0.492322793,0.41833203,0.472913125,0.556105672,0.611956707,0.446049508,0.37678918,0.425514471,0.369931591,0.316358418,0.075542189,0.096850692,0.10122548,0.196748869,0.205924565,0.415790375,0.714584192,1,0.4357418,0.563493049,0.361273917,0.264036597,0.379827395,0.501722133,0.587504489,0.399232794,0.43695026,0.472965545,0.304922758,0.476772248,0.292117514,0.335296227,0.24726898,0.166598625,0.172644554,0.549802588,0.863498904,0.236348504,0.52474795,0.626780311,0.350031465,0.330228848,0.610815219,0.729871541,0.33183379,0.75049368,0.743330387,0.676857061,0.556237483,1
7,0.26049341,0.334154422,0.595526181,0.651162455,1,0.688388107,0.616972726,0.455551713,0.4425538,0.275186021,0.252724424,0.237997553,0.203361389,0.179307662,0.174317733,0.163832021,0.147693027,0.192470262,0.114447929,0.083889989,0.284776947,0.319983041,0.820124057,0.744906129,1,0.870264978,0.68343701,0.56700502,0.648498597,0.37091617,0.280526616,0.294072822,0.211511364,0.218480833,0.172118872,0.173779779,0.181312268,0.269837769,0.122931399,0.101292139,0.384058403,0.427354504,0.635477372,0.897468139,1,0.904179168,0.747150382,0.665746018,0.644566694,0.439574141,0.421201019,0.356633283,0.326685292,0.299082127,0.268284055,0.28732646,0.252101275,0.274420886,0.180667476,0.14572819,0.260506825,0.334001289,0.595297068,0.651125468,1,0.688214291,0.616754318,0.45518531,0.442263273,0.275124784,0.252300876,0.237356942,0.202250873,0.177845151,0.173919785,0.162649523,0.146319737,0.191448482,0.113178044,0.083280324,0.950316404,1,0.979828749,0.641888146,0.559328464,0.679213226,0.935116926,0.855774062,0.942528023,0.746290576,0.744566832,0.860652764,0.71180499,0.692731532,0.773817424,0.738985551,0.712762701,0.784570964,0.714505006,0.705400538
